Rank,Server Locations,Percentage Top 1,000 Sites
1,United States and territories,52.4%
1.1,    United States,52.4%
2,Germany,26.3%
3,China and territories,15.2%
3.1,    China,12.6%
3.2,    Hong Kong,5.1%
4,France and territories,13.3%
4.1,    France,13.3%
5,Russian Federation,10.3%
6,United Kingdom and territories,5.8%
6.1,    United Kingdom,5.8%
7,Japan,5.1%
8,Netherlands and territories,4.9%
8.1,    Netherlands,4.9%
9,Singapore,4.9%
10,Italy,4.5%
11,Ireland,3.8%
12,Iran,2.5%
13,Austria,2.4%
14,India,2.1%
15,Sweden,2.1%
16,South Korea,2.0%
17,Taiwan,1.8%
18,Canada,1.5%
19,Belgium,1.3%
20,Turkey,1.1%
21,Switzerland,1.1%
22,Hungary,1.1%
23,Indonesia,0.8%
24,Poland,0.8%
25,Czech Republic,0.8%
26,Spain,0.7%
27,United Arab Emirates,0.6%
28,Brazil,0.4%
29,Venezuela,0.4%
30,Viet Nam,0.3%
31,Finland and territories,0.3%
31.1,    Finland,0.3%
32,Kazakhstan,0.3%
33,Chile,0.3%
34,Luxembourg,0.3%
35,Australia,0.1%
36,Thailand,0.1%
37,Israel,0.1%
38,Denmark and territories,0.1%
38.1,    Denmark,0.1%
39,Greece,0.1%
40,Malaysia,0.1%
41,Argentina,0.1%
42,Slovakia,0.1%
43,Norway,0.1%
44,Iceland,0.1%
45,Bosnia and Herzegovina,0.1%
46,Seychelles,0.1%
47,Angola,0.1%
