Amazon,25.5%
Google,9.2%
Zendesk,5.8%
Alibaba,5.0%
China Telecom,3.6%
WP Engine Group,2.3%
Salesforce,2.3%
Tencent,2.2%
China Unicom,2.2%
Microsoft,1.8%
Verizon Group,1.8%
Shopify,1.6%
OVH,1.6%
Automattic Group,1.3%
Hetzner,1.1%
Acquia,1.0%
China Mobile,1.0%
Asiatech,0.9%
CenturyLink,0.9%
Pantheon,0.6%
Medium,0.5%
Squarespace,0.4%
LeaseWeb Group,0.4%
NTT Group,0.4%
IBM,0.4%
GitHub,0.4%
HubSpot,0.4%
Chunghwa Telecom,0.4%
Oracle,0.4%
Newfold Digital,0.3%
GoDaddy Group,0.3%
Netlify,0.3%
KT Group,0.3%
Pars Online,0.3%
SK Group,0.3%
IDC Frontier,0.3%
Hurricane Electric,0.3%
Baidu,0.3%
Neustar,0.3%
Wikimedia,0.3%
United Internet,0.2%
Rackspace,0.2%
Webflow,0.2%
Kinsta,0.2%
XBT Holding,0.2%
AT&T,0.2%
Comcast,0.2%
Afranet,0.2%
Yandex,0.2%
Mail.Ru,0.2%
ServerStack,0.2%
Cisco,0.2%
Wix,0.1%
Liquid Web,0.1%
REG.RU,0.1%
RBC Group,0.1%
Internap Group,0.1%
Weebly,0.1%
Selectel,0.1%
Sakura,0.1%
VNPT,0.1%
Hivelocity,0.1%
Scaleway,0.1%
Tilda,0.1%
Aruba Group,0.1%
Radore,0.1%
Viettel,0.1%
FPT,0.1%
Vercel,0.1%
Masterhost,0.1%
Rostelecom Group,0.1%
Heroku,0.1%
Exabytes Group,0.1%
TierPoint,0.1%
LG Group,0.1%
QuadraNet,0.1%
Pair Networks,0.1%
PS Internet Company,0.1%
KDDI Group,0.1%
Hostiran,0.1%
Advanced Hosting,0.1%
M247,0.1%
Performive,0.1%
Psychz,0.1%
UCloud,0.1%
Platform.sh,0.1%
HKBN,0.1%
Zoho,0.1%
NFOrce Entertainment,0.1%
Grupo GTD,0.1%
NetSuite,0.1%
HopOne,0.1%
Universo Online,0.1%
Advania,0.1%
NetEase,0.1%
Turkmentelecom,0.1%
Hewlett-Packard,0.1%
Apple,0.1%
